"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","sales","salary"
"6433",0.25,0.67,2,136,6,0,0,0,"sales","medium"
"5493",0.37,0.46,3,173,6,0,0,0,"RandD","medium"
"10363",0.44,0.63,3,193,3,0,0,0,"technical","high"
"5988",0.98,0.87,3,246,3,0,0,0,"hr","high"
"2385",0.5,0.81,3,148,2,0,0,0,"sales","low"
"6573",0.36,0.74,6,280,3,0,0,0,"sales","low"
"2269",0.96,0.67,6,190,3,0,0,0,"support","low"
"3147",0.76,0.74,3,183,3,0,0,0,"sales","medium"
"370",0.1,0.82,6,266,4,0,1,0,"IT","low"
"13515",0.5,0.95,3,198,4,0,0,0,"accounting","low"
"519",0.44,0.54,2,151,3,0,1,0,"management","low"
"3756",0.95,0.71,3,223,2,0,0,0,"sales","low"
"2022",0.98,0.66,5,248,3,0,0,0,"technical","medium"
"2313",0.51,0.64,3,267,2,0,0,0,"sales","low"
"14356",0.84,0.99,4,267,5,0,1,0,"product_mng","low"
"13139",0.49,0.52,3,156,2,0,0,0,"sales","low"
"10415",0.57,0.94,3,230,2,0,0,0,"hr","low"
"14204",0.62,0.85,3,237,3,1,0,0,"IT","medium"
"10929",0.98,0.58,3,183,3,0,0,0,"sales","low"
"9918",0.63,0.63,5,252,2,0,0,0,"product_mng","low"
"670",0.72,0.6,3,153,5,0,1,0,"technical","low"
"1753",0.1,0.95,6,264,5,0,1,0,"RandD","medium"
"3981",0.91,0.89,4,260,3,0,0,0,"sales","low"
"4927",0.69,0.49,3,198,4,0,0,0,"technical","medium"
"8908",0.23,0.79,5,196,5,1,0,0,"support","low"
"10540",0.82,0.77,4,152,2,1,0,0,"marketing","low"
"324",0.11,0.91,7,287,4,0,1,0,"sales","low"
"8847",0.48,0.47,3,160,3,0,0,0,"product_mng","medium"
"1953",0.46,0.55,2,145,3,0,1,0,"technical","low"
"251",0.79,0.87,5,261,5,0,1,0,"sales","low"
"2115",0.35,0.5,5,227,2,0,0,0,"support","low"
"701",0.46,0.54,2,143,3,0,1,0,"sales","medium"
"9700",0.75,0.92,3,160,3,1,0,0,"technical","medium"
"14699",0.19,1,4,192,4,0,1,0,"accounting","low"
"11888",0.96,0.59,3,241,3,0,0,0,"product_mng","low"
"5980",0.48,0.62,4,210,2,0,0,0,"sales","medium"
"12649",0.45,0.54,2,129,3,0,1,0,"technical","medium"
"3593",0.75,0.59,5,206,2,0,0,0,"marketing","low"
"14468",0.11,0.81,6,266,4,1,1,0,"sales","medium"
"14013",0.9,0.56,3,151,3,0,0,0,"sales","medium"
"8312",0.7,0.6,3,187,2,0,0,0,"product_mng","high"
"2827",0.62,0.9,4,155,4,0,0,0,"sales","low"
"11877",0.4,0.47,5,173,5,0,0,0,"technical","medium"
"11392",0.37,0.63,4,167,3,0,0,0,"IT","low"
"4522",0.54,0.76,3,199,4,0,0,0,"sales","low"
"6619",0.88,0.65,3,268,2,0,0,0,"support","high"
"7252",0.44,0.65,2,151,3,0,0,0,"RandD","medium"
"2085",0.63,0.59,5,224,3,0,0,0,"sales","low"
"940",0.39,0.47,2,135,3,0,1,0,"sales","low"
"14789",0.57,0.72,4,275,6,0,1,0,"technical","medium"
"9535",0.96,0.5,3,217,2,1,0,0,"IT","low"
"6655",0.61,0.82,3,209,2,0,0,0,"sales","low"
"6820",0.29,0.47,5,139,4,0,0,0,"sales","low"
"1767",0.44,0.56,2,141,3,0,1,0,"sales","low"
"1915",0.39,0.68,2,282,5,0,1,0,"marketing","low"
"2937",0.97,0.65,3,219,2,0,0,0,"technical","low"
"4496",0.89,0.78,4,223,3,0,0,0,"product_mng","low"
"763",0.41,0.47,2,131,3,0,1,0,"marketing","medium"
"3341",0.86,0.49,4,251,2,0,0,0,"technical","medium"
"10612",0.52,0.97,4,170,3,0,0,0,"support","medium"
"12828",0.99,0.55,3,170,3,0,0,0,"marketing","medium"
"14611",0.1,0.87,6,250,4,0,1,0,"sales","low"
"6247",0.8,0.68,4,199,2,0,0,0,"IT","medium"
"3366",0.57,0.54,3,140,3,0,0,0,"marketing","low"
"675",0.46,0.5,2,157,3,0,1,0,"IT","low"
"13013",0.9,0.77,4,273,2,0,0,0,"technical","low"
"6292",0.59,0.72,2,107,3,0,0,0,"hr","medium"
"11183",0.48,0.77,5,250,2,0,0,1,"RandD","medium"
"818",0.11,0.87,6,264,4,0,1,0,"support","medium"
"14546",0.1,0.81,6,290,4,0,1,0,"accounting","medium"
"9800",0.96,0.54,5,161,3,1,0,0,"accounting","high"
"13276",0.59,0.53,5,169,3,0,0,0,"technical","low"
"10621",0.39,0.37,5,156,4,0,0,0,"sales","medium"
"4573",0.67,0.99,5,237,3,0,0,0,"product_mng","medium"
"7059",0.71,0.41,5,107,4,0,0,0,"technical","medium"
"3840",0.78,0.87,3,190,3,0,0,0,"sales","low"
"11698",0.7,0.58,5,168,3,0,0,0,"management","low"
"12637",0.44,0.53,2,140,3,0,1,0,"sales","low"
"6600",0.99,0.62,5,133,3,0,0,0,"technical","medium"
"14361",0.39,0.5,2,147,3,0,1,0,"marketing","low"
"5047",0.53,0.7,3,138,2,0,0,0,"sales","medium"
"1196",0.8,0.85,4,264,5,0,1,0,"support","medium"
"12654",0.37,0.51,2,132,3,0,1,0,"technical","medium"
"13794",0.58,0.91,3,195,10,0,0,0,"support","low"
"12257",0.11,0.81,6,266,4,1,1,0,"sales","medium"
"7466",0.83,0.81,4,209,4,0,0,0,"IT","medium"
"10911",0.51,0.5,4,130,3,0,0,0,"RandD","medium"
"1525",0.74,0.86,5,262,5,0,1,0,"RandD","low"
"10107",0.64,0.74,4,157,4,0,0,0,"accounting","low"
"14044",0.71,0.66,5,187,2,0,0,0,"sales","medium"
"421",0.09,0.96,6,268,4,0,1,0,"technical","medium"
"2757",0.87,0.5,3,269,3,0,0,0,"marketing","medium"
"2729",0.55,0.49,3,152,2,0,0,0,"technical","medium"
"7127",0.93,0.78,2,188,2,0,0,0,"sales","low"
"986",0.11,0.55,2,137,3,1,1,0,"RandD","low"
"6942",0.7,0.8,4,236,2,0,0,0,"RandD","medium"
"10253",0.32,0.81,5,111,4,0,0,0,"sales","medium"
"10320",0.66,0.96,4,185,2,1,0,0,"sales","medium"
"6646",0.73,0.94,4,213,3,1,0,0,"marketing","medium"
"5702",0.74,0.55,6,130,2,0,0,0,"support","medium"
"4563",0.57,0.76,3,195,3,0,0,0,"technical","medium"
"1142",0.46,0.48,2,129,3,0,1,0,"sales","low"
"4101",0.66,0.73,3,244,3,0,0,0,"support","medium"
"9629",0.87,0.67,5,143,3,0,0,0,"sales","medium"
"3617",0.7,0.67,4,181,3,0,0,0,"accounting","medium"
"8912",0.63,0.96,4,133,2,0,0,0,"technical","low"
"6725",0.33,0.85,2,127,3,0,0,0,"marketing","medium"
"5685",0.7,0.48,4,229,2,0,0,0,"technical","high"
"3149",0.99,0.61,3,167,3,0,0,0,"sales","medium"
"6857",0.99,0.64,3,174,4,0,0,0,"IT","low"
"1282",0.75,0.88,5,270,5,0,1,0,"IT","high"
"6555",0.66,0.9,3,176,2,1,0,0,"product_mng","medium"
"5443",0.16,0.7,5,257,4,0,0,0,"sales","medium"
"13155",0.91,0.74,3,150,2,0,0,0,"accounting","medium"
"14112",0.83,0.57,2,222,2,0,0,0,"sales","medium"
"2626",0.6,0.91,2,168,4,0,0,0,"hr","low"
"11117",0.6,0.79,4,262,3,0,0,0,"sales","low"
"7115",0.96,0.83,3,234,3,0,0,0,"sales","low"
"14828",0.39,0.49,2,144,3,0,1,0,"marketing","medium"
"3343",0.82,0.58,4,183,3,0,0,0,"management","medium"
"5589",0.49,0.89,2,233,4,1,0,0,"sales","medium"
"12904",0.71,0.9,3,138,3,0,0,0,"marketing","medium"
"13083",0.58,0.48,3,135,3,1,0,0,"hr","medium"
"6098",0.62,0.7,5,180,4,0,0,0,"product_mng","high"
"8185",0.57,0.72,3,206,3,0,0,0,"sales","medium"
"12423",0.86,1,5,257,5,0,1,0,"technical","medium"
"14453",0.37,0.46,2,156,3,0,1,0,"sales","low"
"2665",0.85,0.9,5,202,3,0,0,0,"IT","low"
"12986",0.76,0.64,4,234,2,0,0,0,"sales","high"
"4683",0.87,0.49,4,149,2,0,0,0,"sales","low"
"12863",0.13,0.76,5,219,4,0,0,0,"technical","low"
"13585",0.42,0.45,3,227,3,0,0,0,"sales","medium"
"14533",0.82,0.84,5,244,5,0,1,0,"sales","low"
"7731",0.13,0.72,4,247,3,0,0,0,"sales","medium"
"943",0.11,0.89,6,301,4,0,1,0,"accounting","low"
"12869",0.81,0.86,4,213,3,0,0,0,"support","low"
"7165",0.78,0.99,3,174,3,0,0,0,"IT","low"
"6864",0.65,0.97,3,171,3,0,0,0,"IT","medium"
"13916",0.94,0.67,4,191,3,1,0,0,"product_mng","high"
"12849",0.5,0.64,3,257,2,1,0,0,"accounting","high"
"3612",0.6,0.99,4,225,3,0,0,0,"sales","medium"
"14097",0.71,0.68,3,231,2,1,0,0,"product_mng","low"
"14940",0.85,0.87,4,273,5,0,1,0,"RandD","medium"
"3764",0.78,0.92,3,169,3,0,0,0,"sales","high"
"2446",0.77,0.83,4,231,2,0,0,0,"management","medium"
"2158",0.67,0.54,2,141,2,0,0,0,"sales","low"
"4881",0.59,0.65,4,163,3,1,0,0,"RandD","low"
"4217",0.25,0.82,3,269,5,0,0,0,"sales","low"
"1676",0.09,0.93,6,255,4,0,1,0,"RandD","medium"
"4529",0.8,0.77,4,205,2,0,0,0,"sales","low"
"14090",0.68,0.66,3,238,2,0,0,0,"management","medium"
"6688",0.79,0.66,4,139,4,0,0,0,"support","low"
"9505",0.65,0.82,4,257,3,0,0,0,"technical","low"
"3751",0.93,0.63,4,233,2,0,0,0,"sales","low"
"4912",0.78,0.49,3,224,3,0,0,0,"sales","low"
"1730",0.86,0.95,4,270,5,0,1,0,"support","low"
"4878",0.65,0.69,4,153,3,0,0,0,"product_mng","low"
"7227",0.51,0.53,4,260,2,1,0,0,"support","medium"
"3",0.11,0.88,7,272,4,0,1,0,"sales","medium"
"5101",0.76,0.44,3,121,4,0,0,0,"IT","low"
"9669",0.24,0.76,6,213,4,0,0,0,"support","medium"
"5866",0.17,0.91,6,246,5,0,0,0,"IT","high"
"2364",0.92,0.77,4,185,3,0,0,0,"RandD","medium"
"14202",0.49,0.49,4,212,7,0,0,0,"product_mng","medium"
"13843",0.49,0.78,4,254,10,0,0,0,"management","high"
"4243",0.73,0.91,3,238,2,0,0,0,"technical","medium"
"7161",0.46,0.53,3,135,2,0,0,0,"management","low"
"11746",0.27,0.76,4,108,10,0,0,0,"sales","medium"
"5173",0.77,0.54,3,227,4,0,0,0,"management","medium"
"387",0.1,0.93,6,298,4,0,1,0,"technical","medium"
"11280",0.22,0.91,6,222,8,0,0,0,"technical","low"
"4933",0.39,0.38,2,106,3,1,0,0,"support","medium"
"1095",0.11,0.77,6,275,4,0,1,0,"accounting","low"
"5355",0.65,0.7,3,231,3,0,0,0,"sales","medium"
"2161",0.46,0.69,2,159,2,0,0,0,"sales","low"
"5064",0.34,0.89,5,266,6,0,0,0,"sales","medium"
"5923",0.64,0.68,3,272,3,0,0,0,"technical","low"
"2877",0.66,0.65,5,161,3,0,0,0,"support","medium"
"6282",0.76,0.57,4,266,3,0,0,0,"sales","low"
"2011",0.56,0.58,4,258,3,0,0,0,"sales","medium"
"12082",0.38,0.49,2,151,3,0,1,0,"technical","low"
"547",0.37,0.47,2,149,3,0,1,0,"sales","low"
"2196",0.98,0.58,4,136,3,0,0,0,"technical","low"
"1783",0.73,1,4,268,5,0,1,0,"sales","medium"
"10638",0.5,0.64,3,257,2,1,0,0,"accounting","high"
"11662",0.44,0.66,6,134,8,0,0,0,"RandD","high"
"2303",0.56,0.62,5,238,3,0,0,0,"sales","low"
"3297",0.69,0.63,3,226,3,0,0,0,"sales","low"
"11868",0.56,0.59,3,223,3,0,0,0,"support","medium"
"2556",0.56,0.94,3,226,2,0,0,0,"technical","low"
"325",0.37,0.45,2,131,3,0,1,0,"sales","low"
"10856",0.77,0.83,3,175,3,0,0,1,"sales","medium"
"2731",0.91,0.89,2,219,4,0,0,0,"technical","low"
"13734",0.5,0.92,4,266,7,0,0,0,"product_mng","medium"
"9395",0.5,0.84,3,150,2,0,0,0,"marketing","low"
"5446",0.56,0.91,4,188,2,1,0,0,"sales","low"
"7659",0.55,0.91,4,199,3,0,0,0,"sales","low"
"3448",0.58,0.72,5,234,3,1,0,0,"sales","low"
"11350",0.95,0.9,4,221,10,1,0,0,"management","high"
"8623",0.46,0.63,2,177,6,0,0,0,"RandD","medium"
"1892",0.37,0.49,2,138,3,0,1,0,"technical","low"
"4154",0.78,0.72,4,219,3,0,0,0,"hr","medium"
"1878",0.39,0.51,2,137,3,0,1,0,"technical","low"
"11374",0.42,0.45,3,227,3,0,0,0,"sales","medium"
"2750",0.91,0.59,5,162,2,0,0,0,"sales","low"
"3738",0.16,0.86,2,215,2,0,0,0,"RandD","medium"
"8966",0.93,0.49,3,211,2,0,0,0,"technical","medium"
"757",0.77,0.92,5,235,5,0,1,0,"IT","low"
"3634",0.88,0.58,4,147,4,0,0,0,"support","medium"
"10449",0.94,0.89,4,192,2,0,0,0,"product_mng","low"
"4740",0.48,0.53,3,113,4,0,0,0,"marketing","medium"
"13344",0.43,0.74,4,129,6,0,0,0,"hr","medium"
"11761",0.32,0.48,4,117,10,0,0,1,"marketing","medium"
"3967",0.82,0.58,4,202,2,0,0,0,"RandD","medium"
"9473",0.86,0.86,3,173,3,0,0,0,"marketing","low"
"5074",1,0.85,3,150,3,0,0,0,"technical","low"
"1106",0.37,0.49,2,130,3,0,1,0,"technical","low"
"2289",0.47,0.9,3,101,2,1,0,0,"marketing","medium"
"6969",0.85,0.97,4,210,2,0,0,0,"sales","medium"
"5134",0.71,0.76,3,175,2,0,0,0,"sales","medium"
"8119",0.49,0.7,4,168,3,0,0,0,"accounting","medium"
"14095",0.86,0.83,4,208,3,1,0,0,"IT","low"
"5568",0.51,0.78,5,225,4,0,0,0,"RandD","low"
"1666",0.14,0.55,6,175,5,0,1,0,"IT","medium"
"8751",0.38,0.55,2,215,6,0,0,0,"support","medium"
"13153",0.81,0.92,5,258,3,0,0,1,"sales","medium"
"12251",0.79,0.87,5,261,5,0,1,0,"sales","low"
"1201",0.83,1,5,263,5,0,1,0,"technical","medium"
"3314",0.53,0.73,4,227,3,0,0,0,"hr","medium"
"2523",0.99,0.97,4,208,3,0,0,0,"management","medium"
"6825",0.49,0.85,4,238,2,0,0,0,"hr","medium"
"6455",0.67,0.92,5,258,3,0,0,0,"technical","high"
"8536",0.5,0.75,3,232,2,0,0,0,"IT","medium"
"7238",0.65,1,4,195,3,0,0,0,"IT","low"
"8884",0.93,0.99,4,209,3,1,0,0,"accounting","high"
"6593",0.82,0.52,5,225,2,0,0,0,"accounting","high"
"11289",0.69,0.76,3,174,6,0,0,0,"sales","medium"
"10182",0.65,0.54,2,177,3,0,0,0,"accounting","low"
"4990",0.69,0.97,3,158,2,0,0,0,"accounting","low"
"3154",0.21,0.44,4,163,6,0,0,0,"sales","high"
"5861",0.9,0.62,5,236,6,0,0,0,"technical","medium"
"4118",0.44,0.74,4,250,6,0,0,0,"RandD","medium"
"4720",0.96,0.75,4,177,2,0,0,0,"IT","low"
"10574",0.2,0.69,6,236,4,0,0,0,"technical","low"
"2738",0.63,0.5,3,246,3,0,0,0,"product_mng","low"
"1155",0.39,0.53,2,131,3,0,1,0,"sales","medium"
"9392",0.62,0.63,5,153,6,0,0,0,"technical","medium"
"7382",0.71,0.56,3,177,4,0,0,0,"support","high"
"3355",0.93,0.89,4,209,2,0,0,0,"RandD","medium"
"88",0.44,0.45,2,132,3,0,1,0,"sales","low"
"5728",0.83,0.64,2,192,2,0,0,0,"sales","low"
"5745",0.75,0.69,3,274,2,0,0,0,"sales","medium"
"14270",0.38,0.54,2,128,3,0,1,0,"technical","low"
"11097",0.29,0.38,5,191,5,0,0,0,"management","medium"
"8311",0.28,0.52,3,127,4,0,0,0,"product_mng","high"
"11053",0.54,0.53,4,158,2,0,0,0,"technical","medium"
"9645",0.85,0.6,3,251,2,0,0,0,"sales","low"
"6665",0.56,0.51,4,140,2,0,0,0,"sales","low"
"7517",0.69,0.97,4,264,3,0,0,0,"technical","low"
"4027",0.91,0.93,4,184,3,0,0,0,"technical","low"
"10495",0.79,0.67,5,222,4,0,0,0,"technical","low"
"4110",0.84,0.48,4,269,2,0,0,0,"IT","medium"
"13909",0.7,0.58,5,168,3,0,0,0,"management","low"
"8742",0.5,0.67,2,142,3,0,0,0,"technical","low"
"9893",0.5,0.91,4,148,2,0,0,0,"technical","medium"
"2330",0.66,0.77,2,171,2,0,0,0,"technical","medium"
"2425",0.55,0.88,4,252,3,0,0,0,"management","low"
"6136",0.68,0.83,3,144,2,0,0,0,"accounting","medium"
"11205",0.94,0.51,3,242,3,0,0,0,"sales","medium"
"4850",0.73,0.86,4,179,3,0,0,0,"technical","medium"
"6538",0.49,0.63,3,245,4,0,0,0,"support","low"
"6274",0.63,0.82,3,269,3,0,0,0,"sales","low"
"13809",0.99,0.94,5,151,3,0,0,0,"product_mng","medium"
"4314",0.69,0.59,4,266,4,0,0,0,"technical","medium"
"11809",0.69,0.9,5,103,5,0,0,0,"product_mng","low"
"8412",1,0.61,6,270,3,0,0,0,"sales","low"
"10697",0.82,0.67,3,229,3,0,0,0,"sales","medium"
"9677",0.75,0.49,4,208,4,0,0,0,"technical","low"
"13798",0.65,0.55,3,156,5,0,0,0,"marketing","low"
"13062",0.97,0.89,4,248,2,0,0,0,"sales","low"
"5587",0.81,0.99,2,156,5,0,0,0,"sales","medium"
"5098",0.53,0.83,4,246,3,0,0,0,"IT","high"
"7485",0.68,0.88,5,256,2,0,0,0,"technical","medium"
"13067",0.77,0.83,3,175,3,0,0,1,"sales","medium"
"13012",0.48,0.53,3,211,4,0,0,0,"technical","low"
"14172",0.82,0.67,3,198,3,1,0,0,"product_mng","low"
"880",0.82,0.97,5,263,5,0,1,0,"technical","medium"
"7990",0.36,0.45,2,135,3,1,0,0,"support","high"
"10585",0.61,0.98,2,238,4,0,0,0,"support","medium"
"13289",0.97,0.57,4,150,2,0,0,0,"IT","medium"
"10022",0.61,1,4,133,4,0,0,0,"sales","low"
"7006",0.82,0.66,4,150,3,0,0,0,"technical","low"
"8145",0.62,0.55,4,218,3,0,0,0,"support","medium"
"1928",0.09,0.95,6,271,4,0,1,0,"sales","low"
"8289",0.86,0.51,3,185,2,0,0,0,"technical","medium"
"4065",0.61,0.64,4,201,3,0,0,0,"sales","low"
"3269",0.74,0.63,4,170,2,0,0,0,"IT","medium"
"5788",0.16,0.8,4,140,5,1,0,0,"IT","medium"
"7391",0.95,0.57,3,238,3,0,0,0,"IT","low"
"11499",0.56,0.66,4,264,3,0,0,0,"sales","low"
"5739",0.54,0.68,3,158,3,0,0,0,"sales","low"
"1824",0.1,0.89,6,280,4,0,1,0,"product_mng","medium"
"11186",0.57,0.46,2,100,6,1,0,1,"marketing","medium"
"11921",0.19,0.61,4,127,8,0,0,0,"sales","low"
"5829",0.91,0.62,4,158,3,1,0,0,"sales","medium"
"2950",0.15,0.86,3,204,4,0,0,0,"support","medium"
"285",0.38,0.47,2,144,3,0,1,0,"support","low"
"600",0.11,0.92,7,307,4,0,1,0,"IT","low"
"10412",0.61,0.81,5,136,3,0,0,0,"hr","low"
"11725",0.73,0.48,3,211,7,0,0,0,"sales","medium"
"3411",0.21,0.66,4,165,5,0,0,0,"support","low"
"9517",0.58,0.97,5,265,3,0,0,0,"support","low"
"12488",0.19,1,4,192,4,0,1,0,"accounting","low"
"1197",0.37,0.55,2,159,3,0,1,0,"support","medium"
"1866",0.11,0.93,5,140,5,0,1,0,"hr","medium"
"14114",0.93,0.89,3,255,7,1,0,0,"sales","medium"
"8609",0.67,0.8,4,190,4,0,0,0,"technical","medium"
"12073",0.45,0.49,2,149,3,0,1,0,"product_mng","high"
"3083",0.38,0.81,5,128,3,1,0,0,"accounting","low"
"6914",0.24,0.48,4,145,3,1,0,0,"technical","high"
"13571",0.82,0.8,3,162,3,0,0,0,"sales","medium"
"11159",0.69,0.55,3,172,2,0,0,0,"technical","medium"
"4477",0.86,0.6,5,134,2,1,0,0,"support","low"
"6499",0.6,0.75,5,233,3,1,0,0,"sales","low"
"9919",0.65,0.82,4,196,2,0,0,0,"IT","low"
"12628",0.41,0.46,2,156,3,1,1,0,"sales","low"
"2395",0.94,0.93,4,220,3,0,0,0,"accounting","low"
"11091",0.87,0.52,4,140,3,0,0,0,"product_mng","medium"
"6471",0.14,0.72,6,100,5,0,0,0,"management","low"
"12463",0.8,0.53,3,255,5,0,1,0,"technical","high"
"6700",0.79,0.86,5,270,2,0,0,0,"management","low"
"14047",0.16,0.93,6,218,6,1,0,0,"product_mng","high"
"6603",1,0.63,5,171,3,0,0,0,"technical","medium"
"2098",0.94,0.83,2,185,3,1,0,0,"technical","medium"
"14457",0.45,0.46,2,155,3,0,1,0,"sales","low"
"8573",0.87,0.84,3,172,3,0,0,0,"sales","medium"
"1047",0.86,1,4,250,6,0,1,0,"support","medium"
"11227",0.57,1,4,227,10,0,0,0,"technical","low"
"6406",0.88,0.84,4,170,2,0,0,0,"RandD","medium"
"6842",0.9,0.48,3,213,3,0,0,0,"support","low"
"13694",0.87,0.97,5,151,3,0,0,0,"RandD","medium"
"14304",0.42,0.48,2,143,3,0,1,0,"sales","low"
"11293",0.29,0.37,6,187,10,1,0,0,"sales","high"
"13978",0.76,0.85,3,192,3,0,0,0,"marketing","low"
"7269",0.95,0.54,4,255,2,0,0,0,"sales","low"
"4066",0.83,0.55,5,247,3,0,0,0,"sales","low"
"11164",0.77,0.75,4,191,3,0,0,0,"IT","medium"
"13374",0.78,0.89,4,137,3,0,0,0,"IT","medium"
"3473",0.79,0.48,4,178,2,0,0,0,"technical","low"
"13708",0.31,0.86,3,266,7,0,0,0,"sales","low"
"2055",0.85,0.6,3,182,3,0,0,0,"IT","medium"
"11805",0.64,0.88,3,252,2,0,0,0,"sales","low"
"643",0.73,0.97,5,235,5,0,1,0,"hr","low"
"3944",0.74,0.37,2,171,4,0,0,0,"support","low"
"12888",0.96,0.7,4,272,3,0,0,0,"product_mng","high"
"8766",0.92,0.51,4,167,3,1,0,0,"IT","medium"
"13364",0.99,0.8,3,209,2,0,0,0,"support","medium"
"11514",0.98,0.49,3,199,10,0,0,0,"technical","medium"
"9452",0.96,0.58,5,178,3,0,0,0,"IT","low"
"915",0.89,0.87,5,275,6,0,1,0,"marketing","low"
"3022",0.75,1,4,135,4,0,0,0,"technical","low"
"10837",0.68,0.49,3,178,3,1,0,0,"RandD","low"
"11594",0.65,0.85,4,172,3,0,0,0,"sales","medium"
"14898",0.11,0.92,6,269,4,0,1,0,"accounting","medium"
"13840",0.57,0.75,4,249,10,0,0,0,"product_mng","medium"
"9471",0.75,0.59,3,242,3,0,0,0,"marketing","medium"
"2057",0.81,0.61,5,231,2,0,0,0,"RandD","medium"
"10676",0.36,0.55,3,191,3,0,0,0,"product_mng","high"
"4803",0.95,0.53,4,263,3,0,0,0,"IT","low"
"10211",0.86,0.97,4,258,3,0,0,0,"technical","high"
"1273",0.45,0.46,2,142,3,0,1,0,"support","medium"
"7263",0.96,0.6,5,182,5,0,0,0,"sales","medium"
"3108",0.74,0.96,4,154,4,0,0,0,"support","medium"
"3025",0.41,0.96,6,171,5,1,0,0,"support","medium"
"12307",0.37,0.46,2,149,3,0,1,0,"marketing","high"
"6246",0.93,0.73,4,153,2,1,0,0,"IT","medium"
"1363",0.4,0.5,2,129,3,0,1,0,"IT","medium"
"4405",0.54,0.81,4,257,2,0,0,0,"support","low"
"14421",0.38,0.52,2,153,3,0,1,0,"support","low"
"12062",0.11,0.93,7,308,4,0,1,0,"IT","medium"
"1949",0.4,0.56,2,148,3,0,1,0,"technical","medium"
"11978",0.62,0.72,3,149,3,1,0,0,"marketing","medium"
"488",0.19,1,4,192,4,0,1,0,"accounting","low"
"753",0.37,0.57,2,129,3,0,1,0,"product_mng","low"
"3243",0.95,0.86,3,207,2,0,0,0,"technical","low"
"4519",0.53,0.59,3,231,2,0,0,0,"sales","low"
"5388",0.65,0.87,4,267,2,0,0,0,"technical","low"
"6009",0.65,0.85,3,213,2,0,0,0,"support","low"
"12920",0.56,0.41,5,152,3,0,0,0,"sales","medium"
"3943",0.89,0.9,4,153,3,0,0,0,"support","low"
"9288",0.81,0.51,3,273,2,1,0,0,"support","low"
"8945",0.55,0.53,4,214,3,0,0,0,"sales","low"
"3049",0.82,0.82,5,285,2,1,0,0,"IT","low"
"14835",0.36,0.52,2,146,3,0,1,0,"sales","medium"
"2350",0.67,0.67,4,192,4,0,0,0,"IT","low"
"12600",0.11,0.92,7,307,4,0,1,0,"IT","low"
"1329",0.1,0.96,7,301,4,0,1,0,"hr","low"
"218",0.9,0.98,5,245,5,0,1,0,"IT","low"
"9808",0.5,0.8,6,201,5,0,0,0,"technical","medium"
"5291",0.59,0.94,4,136,2,0,0,0,"sales","medium"
"6253",0.6,0.71,5,263,2,1,0,0,"IT","medium"
"12512",0.53,0.85,2,164,5,0,1,0,"support","low"
"7336",0.93,0.67,4,135,3,1,0,0,"marketing","medium"
"10963",0.65,0.79,5,233,3,0,0,0,"support","low"
"13124",0.52,0.57,3,270,3,0,0,0,"RandD","low"
"13486",0.48,0.84,4,186,7,0,0,1,"management","medium"
"7219",0.55,0.65,5,138,2,0,0,0,"technical","medium"
"7138",0.75,0.63,4,268,3,0,0,0,"technical","medium"
"347",0.81,1,4,253,5,0,1,0,"technical","low"
"5628",0.65,0.86,4,267,2,0,0,0,"support","medium"
"8846",0.73,0.84,4,238,2,0,0,0,"product_mng","medium"
"10838",0.86,0.66,4,251,3,0,0,0,"RandD","low"
"1252",0.43,0.57,2,151,3,1,1,0,"hr","low"
"9873",0.54,0.72,4,259,2,1,0,0,"sales","low"
"12084",0.84,0.85,4,249,6,0,1,0,"marketing","low"
"7482",0.44,0.58,2,157,2,0,0,0,"sales","low"
"7235",0.49,0.6,4,141,3,0,0,0,"technical","low"
"708",0.79,0.91,5,271,5,0,1,0,"sales","low"
"1206",0.09,0.84,7,307,4,0,1,0,"IT","medium"
"12271",0.44,0.51,2,127,3,0,1,0,"technical","medium"
"13458",0.69,0.56,4,149,3,0,0,0,"IT","medium"
"4038",0.86,0.64,5,188,3,0,0,0,"product_mng","medium"
"6313",0.7,0.88,4,245,2,0,0,0,"support","low"
"9608",0.97,0.6,3,169,2,1,0,0,"product_mng","low"
"6523",0.74,0.93,5,140,3,0,0,0,"technical","medium"
"13311",0.61,0.9,2,142,3,0,0,0,"marketing","high"
"5282",0.68,0.68,3,143,3,0,0,0,"sales","medium"
"12504",0.43,0.51,2,155,3,0,1,0,"technical","medium"
"3171",0.84,0.37,5,186,2,0,0,0,"technical","medium"
"4458",0.6,0.84,2,221,3,0,0,0,"accounting","low"
"5078",0.22,0.69,4,182,6,0,0,0,"technical","low"
"9864",0.84,0.98,4,246,3,0,0,0,"sales","medium"
"5302",0.92,0.68,4,196,3,1,0,0,"technical","low"
"7038",0.47,0.47,2,221,6,0,0,0,"sales","low"
"6084",0.19,0.76,3,107,5,0,0,0,"support","low"
"11442",0.61,0.81,4,134,3,0,0,0,"sales","medium"
"6297",0.77,0.68,5,162,4,1,0,0,"technical","medium"
"6785",0.89,0.52,4,243,5,0,0,0,"product_mng","medium"
"8072",0.78,0.99,2,188,2,0,0,0,"technical","medium"
"13483",0.58,0.59,3,207,7,0,0,1,"management","medium"
"7427",0.52,0.63,5,241,3,0,0,0,"sales","low"
"11783",0.84,0.78,4,263,3,0,0,0,"IT","low"
